user_id,KC1,KC2,KC3,KC4,KC5,KC6,score_rate,is_test
213,0.69648576,0.12377417,0.17161232,0.60422784,0.40519947,0.1210249,0.46875,True
214,0.3132433,0.23477691,0.01320222,0.6022366,0.12354514,0.058371264,0.3125,True
215,0.31217045,0.23468947,0.0428412,0.11696548,0.11954955,0.118041605,0.28125,True
216,0.92117125,0.063524164,0.025807599,0.60417,0.12349546,0.12082098,0.4375,True
217,0.83814424,0.123775885,0.046217494,0.60422176,0.06360575,0.060951613,0.4375,True
218,0.92115843,0.7751447,0.08845787,0.4034294,0.4045908,0.060648803,0.46875,True
219,0.31328773,0.123713106,0.026091078,0.60402715,0.40497142,0.06065117,0.3125,True
220,0.8337136,0.007046512,0.004948728,0.11630135,0.026039803,0.05759358,0.21875,True
221,0.8380426,0.063431375,0.04572918,0.60410774,0.12342068,0.060660973,0.40625,True
222,0.3102545,0.23057051,0.08105035,0.11644489,0.39812493,0.22869585,0.3125,True
223,0.83797,0.06320919,0.045700006,0.40455553,0.12310319,0.060605273,0.375,True
224,0.921252,0.6046474,0.04620499,0.6042074,0.40521377,0.06088231,0.5,True
225,0.921253,0.60464776,0.04621079,0.604214,0.23470798,0.12094233,0.5,True
226,0.6964876,0.123774916,0.088510625,0.60424435,0.23469803,0.12105724,0.46875,True
227,0.087754436,0.016849367,0.023905322,0.60356414,0.121535614,0.06008469,0.21875,True
228,0.3123954,0.23469165,0.17022298,0.117385544,0.059033588,0.39998284,0.34375,True
229,0.16730915,0.027712429,0.08062272,0.11627452,0.22643267,0.39919856,0.25,True
230,0.92072904,0.23473997,0.024457712,0.11759958,0.23213325,0.05828539,0.375,True
231,0.08625183,0.030176098,0.01842585,0.116764195,0.057682417,0.22869402,0.1875,True
232,0.6964843,0.12377313,0.08850134,0.60421956,0.23468825,0.060948975,0.4375,True
233,0.17105828,0.032987647,0.020067284,0.6026937,0.12277295,0.118497886,0.28125,True
234,0.92038774,0.12363088,0.015319754,0.1173629,0.11969406,0.058272526,0.34375,True
235,0.92125356,0.88619584,0.17161568,0.6042272,0.40521625,0.232028,0.5625,True
236,0.8381485,0.88619596,0.17162305,0.60424256,0.60453904,0.23207918,0.5625,True
237,0.9210484,0.40529892,0.02572964,0.23046654,0.2334011,0.059312277,0.40625,True
238,0.17154585,0.063291475,0.087283835,0.6039123,0.1233466,0.23133178,0.3125,True
239,0.6964843,0.12377313,0.08850134,0.60421956,0.23468825,0.060948975,0.4375,True
240,0.084468566,0.0076641557,0.020560754,0.22840694,0.055110447,0.058570806,0.15625,True
241,0.92125237,0.6046475,0.046217345,0.6042351,0.40521488,0.12101402,0.53125,True
242,0.16991653,0.06307768,0.04574071,0.40085703,0.027395349,0.23108302,0.21875,True
243,0.31314966,0.034105785,0.02128152,0.6030013,0.063393496,0.11855145,0.28125,True
244,0.8374588,0.2346863,0.024432957,0.11747478,0.2313663,0.058276124,0.34375,True
245,0.6964876,0.123774916,0.088510625,0.60424435,0.23469803,0.12105724,0.46875,True
246,0.92114264,0.77514327,0.08807411,0.23100871,0.23397776,0.2304852,0.46875,True
247,0.921253,0.60464776,0.04621079,0.604214,0.23470798,0.12094233,0.5,True
248,0.92083853,0.4052485,0.0453879,0.22952664,0.23224245,0.05880665,0.40625,True
249,0.3120411,0.01955705,0.025960086,0.40274793,0.028337814,0.12061423,0.25,True
250,0.92125285,0.4053254,0.04622987,0.6042485,0.23470612,0.061020125,0.5,True
251,0.08374852,0.0129603995,0.018084755,0.116221316,0.055035166,0.22867467,0.125,True
252,0.1715154,0.034078162,0.025915448,0.60385185,0.122964785,0.06053051,0.25,True
253,0.0839014,0.0069437013,0.005112256,0.22742784,0.055095207,0.057720155,0.09375,True
254,0.8380585,0.40531743,0.046162274,0.40325844,0.12303826,0.12067801,0.4375,True
255,0.08690272,0.016253151,0.010480993,0.6018542,0.06044003,0.058334548,0.1875,True
256,0.083759375,0.012972065,0.038065225,0.116257936,0.055050515,0.3991887,0.1875,True
257,0.16730434,0.007331133,0.019159818,0.11649743,0.115091965,0.05785796,0.15625,True
258,0.6964876,0.123774916,0.088510625,0.60424435,0.23469803,0.12105724,0.46875,True
259,0.31315088,0.7751402,0.3131813,0.40280285,0.23333068,0.23164253,0.4375,True
260,0.31327465,0.2347844,0.0228856,0.6027534,0.12360075,0.058543287,0.34375,True
261,0.08668591,0.12282453,0.08798522,0.40116867,0.056495253,0.40169227,0.25,True
262,0.838042,0.40531388,0.04574223,0.23055637,0.122896686,0.11935723,0.40625,True
